ID	adj.P.Val	P.Value	t	B	logFC
101928784_at	1.10e-08	4.29e-13	14.2523966	18.758339	2.662728
101926962_at	6.10e-07	4.77e-11	11.3526043	14.79878	2.9172108
1577_at	2.07e-06	2.43e-10	10.4597462	13.371062	2.5559153
23015_at	2.08e-06	3.25e-10	10.304605	13.111846	2.701359
594837_at	8.09e-06	1.58e-09	9.4893214	11.693031	2.1113964
692227_at	1.50e-05	3.52e-09	9.0921822	10.966509	3.0476952
150709_at	1.95e-05	5.34e-09	8.8899088	10.587352	1.5393328
101929529_at	2.58e-05	8.80e-09	8.6495989	10.128814	2.6967334
84460_at	2.58e-05	9.07e-09	8.6352832	10.10122	2.1001537
64651_at	4.22e-05	1.65e-08	8.3532379	9.551164	1.4958972
1950_at	4.85e-05	2.17e-08	8.2253272	9.297685	3.0345406
26775_at	4.85e-05	2.39e-08	8.1807846	9.208826	2.0304655
100506413_at	4.85e-05	2.46e-08	8.1671401	9.181545	1.8624807
100272228_at	5.97e-05	3.27e-08	8.0368802	8.919666	1.6398434
5314_at	6.72e-05	3.94e-08	7.9513964	8.746392	2.5035652
10095_at	7.58e-05	4.96e-08	-7.8472991	8.533879	-1.9863968
7351_at	7.58e-05	5.04e-08	-7.8398282	8.518564	-2.7072693
677847_at	8.16e-05	5.74e-08	7.7809444	8.397554	2.8320296
619568_at	8.86e-05	6.58e-08	7.7192344	8.270169	2.6917495
153396_at	1.14e-04	8.90e-08	7.584295	7.989605	1.44635
79709_at	1.17e-04	9.80e-08	-7.5414078	7.899858	-1.8738167
9481_at	1.17e-04	1.01e-07	7.5290824	7.874015	1.974438
654319_at	1.18e-04	1.10e-07	7.4891798	7.79019	2.8850122
5166_at	1.18e-04	1.13e-07	7.4790284	7.768827	1.9766428
6892_at	1.18e-04	1.16e-07	-7.4677421	7.745057	-1.1615476
1007_at	1.21e-04	1.23e-07	7.4392206	7.684903	2.1682696
101926906_at	1.26e-04	1.33e-07	7.4049663	7.612497	2.647469
379013_at	1.53e-04	1.68e-07	7.303334	7.396639	2.3349731
55779_at	1.58e-04	1.79e-07	7.2760525	7.338434	1.3761424
100507650_at	1.66e-04	1.96e-07	7.2361094	7.253018	1.7453975
399670_at	1.66e-04	2.01e-07	7.225376	7.230025	1.6795494
633_at	1.74e-04	2.18e-07	-7.1898453	7.153791	-1.4284398
7791_at	1.79e-04	2.31e-07	-7.1647544	7.099845	-2.2413523
359845_at	1.88e-04	2.49e-07	-7.1307088	7.026499	-2.1309612
5045_at	1.88e-04	2.57e-07	-7.1172234	6.997399	-1.2583993
1843_at	2.06e-04	2.93e-07	7.0608516	6.875473	1.4627893
387700_at	2.06e-04	2.98e-07	7.0538113	6.860213	3.1471981
100507027_at	2.06e-04	3.06e-07	7.0414802	6.833469	2.8613454
10529_at	2.09e-04	3.19e-07	7.0241484	6.795841	1.807057
7076_at	2.42e-04	3.81e-07	-6.9470261	6.627883	-1.319897
100131564_at	2.42e-04	3.87e-07	6.9401859	6.612946	2.6941349
11230_at	2.46e-04	4.05e-07	-6.9216121	6.57235	-1.4372768
4150_at	2.72e-04	4.65e-07	-6.8616565	6.440977	-1.0801131
602_at	2.72e-04	4.71e-07	-6.8562454	6.429095	-1.7639881
558_at	2.72e-04	4.89e-07	-6.839951	6.393291	-1.8796346
56005_at	2.72e-04	4.97e-07	-6.8333328	6.378738	-1.8333242
1195_at	2.72e-04	5.05e-07	6.8268123	6.364394	1.7239871
199974_at	2.72e-04	5.10e-07	6.8221805	6.354201	2.4451683
4495_at	3.16e-04	6.06e-07	6.7487632	6.192238	1.9374291
7040_at	3.16e-04	6.38e-07	-6.7266952	6.143408	-2.0150206
6624_at	3.16e-04	6.38e-07	-6.7266825	6.14338	-2.5059402
645460_at	3.16e-04	6.42e-07	6.7240263	6.137498	1.7997001
84447_at	3.26e-04	6.94e-07	-6.6913655	6.065095	-1.0692385
102724508_at	3.26e-04	6.95e-07	6.6908003	6.063841	1.6804585
100775107_at	3.26e-04	7.01e-07	6.6868909	6.055164	2.5460469
6693_at	3.35e-04	7.33e-07	-6.6679991	6.013206	-2.0108592
100033820_at	3.36e-04	7.74e-07	6.6451782	5.962457	2.0335902
116828_at	3.36e-04	7.89e-07	6.6370919	5.944458	2.3205765
100289511_at	3.36e-04	7.94e-07	6.634187	5.93799	1.0218691
692072_at	3.36e-04	7.99e-07	6.6314355	5.931863	3.4756365
7072_at	3.36e-04	8.04e-07	6.629014	5.926469	1.8562976
1655_at	3.36e-04	8.15e-07	6.6232244	5.91357	1.3010409
101927084_at	3.59e-04	8.85e-07	6.5881877	5.835415	1.2872382
976_at	3.68e-04	9.28e-07	-6.5685131	5.791455	-2.2575855
2275_at	3.68e-04	9.49e-07	-6.5589644	5.770102	-2.2263776
79783_at	3.68e-04	9.63e-07	6.5528345	5.756387	2.1937802
284119_at	3.68e-04	9.64e-07	-6.5522294	5.755033	-1.2473502
26832_at	3.73e-04	1.00e-06	6.5353239	5.717183	2.0822574
6559_at	3.73e-04	1.01e-06	6.5345843	5.715526	3.2044898
10157_at	3.81e-04	1.06e-06	6.5108338	5.662284	1.614322
647033_at	3.81e-04	1.08e-06	6.5048875	5.648942	1.4556979
83442_at	3.81e-04	1.10e-06	-6.4970161	5.631274	-1.189169
79846_at	3.81e-04	1.10e-06	6.4966257	5.630397	1.5704113
5916_at	3.81e-04	1.10e-06	-6.495805	5.628555	-1.6191823
7456_at	3.98e-04	1.17e-06	-6.4724067	5.575983	-1.5285317
2796_at	4.06e-04	1.21e-06	6.4579865	5.543548	2.1754138
130872_at	4.10e-04	1.23e-06	6.4484476	5.522078	1.9654261
55920_at	4.36e-04	1.33e-06	-6.4174448	5.452214	-1.0948095
284578_at	4.43e-04	1.37e-06	6.4055758	5.425435	1.8020961
81502_at	4.62e-04	1.45e-06	-6.3819341	5.37204	-0.8377154
57140_at	4.62e-04	1.46e-06	-6.377444	5.361891	-1.3711988
388387_at	4.63e-04	1.49e-06	6.3694165	5.34374	2.2868544
151613_at	4.63e-04	1.52e-06	6.3623114	5.327668	1.6568123
780854_at	4.63e-04	1.52e-06	6.360994	5.324688	1.3031183
57494_at	4.71e-04	1.57e-06	6.3485423	5.296504	1.4507178
4240_at	4.71e-04	1.58e-06	-6.3440509	5.286333	-1.5513418
55082_at	4.93e-04	1.68e-06	6.3192585	5.230144	1.4215083
25829_at	4.93e-04	1.69e-06	-6.3160477	5.222861	-1.3518131
80144_at	5.39e-04	1.89e-06	6.2714038	5.12147	1.7882993
11135_at	5.39e-04	1.90e-06	-6.2694181	5.116955	-1.2229233
9058_at	5.70e-04	2.05e-06	6.2372371	5.043707	2.5290734
25850_at	5.70e-04	2.05e-06	6.236812	5.042739	1.2614068
7424_at	5.77e-04	2.10e-06	-6.2274759	5.021464	-1.6686192
100507308_at	5.91e-04	2.19e-06	6.2095363	4.980556	2.4989768
25957_at	5.91e-04	2.19e-06	6.2088574	4.979007	1.2722383
100873976_at	5.91e-04	2.22e-06	6.2040989	4.968149	1.3419224
29015_at	5.97e-04	2.27e-06	-6.1944472	4.946117	-1.8049446
5976_at	5.97e-04	2.29e-06	-6.1913678	4.939085	-1.3393514
2160_at	6.31e-04	2.44e-06	6.1644257	4.877515	2.0347285
54345_at	6.48e-04	2.54e-06	-6.1476813	4.839206	-2.0873696
23646_at	6.48e-04	2.56e-06	-6.1448129	4.83264	-1.320685
80024_at	6.84e-04	2.73e-06	-6.1184515	4.772253	-1.5155291
345_at	6.89e-04	2.81e-06	6.1060518	4.743819	2.0637289
6238_at	6.89e-04	2.82e-06	-6.1044818	4.740218	-1.4023686
100130733_at	6.89e-04	2.83e-06	6.103448	4.737847	1.4724864
4739_at	6.99e-04	2.90e-06	6.0939667	4.716091	1.180747
2207_at	7.16e-04	3.00e-06	-6.0789335	4.681574	-3.5918022
5970_at	7.16e-04	3.03e-06	-6.0750747	4.672709	-1.2690915
2086_at	7.16e-04	3.07e-06	6.0704859	4.662166	1.8499298
7743_at	7.16e-04	3.08e-06	6.068772	4.658227	1.8038839
11148_at	7.23e-04	3.14e-06	6.0609445	4.640236	1.4329292
3071_at	7.30e-04	3.20e-06	-6.053417	4.622927	-2.4047785
401024_at	7.32e-04	3.23e-06	6.048394	4.611373	1.4829224
55599_at	7.57e-04	3.37e-06	6.031338	4.57212	1.6914748
100033436_at	7.57e-04	3.41e-06	6.0267079	4.561459	1.5456942
54429_at	7.57e-04	3.43e-06	6.0237222	4.554583	1.7257209
100500904_at	7.69e-04	3.52e-06	6.0136018	4.531267	1.7857776
1059_at	7.69e-04	3.55e-06	-6.0102741	4.523599	-0.9701271
283131_at	7.70e-04	3.58e-06	6.0064837	4.514862	1.3833994
1594_at	8.04e-04	3.77e-06	5.9854653	4.466386	1.9690583
10984_at	8.04e-04	3.80e-06	5.9818135	4.457959	1.4065729
3142_at	8.08e-04	3.87e-06	-5.9749929	4.442215	-2.2268492
6430_at	8.08e-04	3.89e-06	5.9730104	4.437638	1.2799865
57396_at	8.17e-04	3.96e-06	5.9651592	4.419506	1.7280481
100033821_at	8.35e-04	4.10e-06	5.9510699	4.386952	1.751489
8473_at	8.35e-04	4.11e-06	5.9499851	4.384445	1.3751378
8972_at	8.54e-04	4.24e-06	5.9373094	4.355137	2.8075508
196475_at	8.54e-04	4.29e-06	5.9327328	4.344551	2.2954588
2615_at	8.54e-04	4.31e-06	-5.9307954	4.340069	-1.7865784
100132594_at	8.72e-04	4.45e-06	5.9178053	4.310007	1.4395089
140576_at	8.72e-04	4.47e-06	-5.9159031	4.305603	-1.3462977
100874241_at	9.24e-04	4.77e-06	5.8892064	4.243758	2.7096195
767594_at	9.56e-04	4.98e-06	5.8716931	4.203146	1.3433281
26824_at	9.56e-04	5.01e-06	5.869407	4.197842	2.02173
51155_at	9.84e-04	5.19e-06	-5.8545765	4.163422	-1.4811705
619383_at	9.92e-04	5.27e-06	5.8481322	4.148458	2.4519438
83742_at	9.96e-04	5.38e-06	-5.8397634	4.12902	-1.5227707
64855_at	9.96e-04	5.41e-06	-5.837684	4.124189	-1.4994734
154865_at	9.96e-04	5.41e-06	5.8376637	4.124141	1.3296314
23344_at	1.01e-03	5.55e-06	-5.8271091	4.099613	-0.8438272
7052_at	1.01e-03	5.57e-06	-5.8257357	4.09642	-1.7582374
22899_at	1.01e-03	5.72e-06	-5.8148495	4.071107	-1.6553224
7157_at	1.01e-03	5.72e-06	-5.8147454	4.070865	-1.6465124
213_at	1.01e-03	5.73e-06	5.8143719	4.069996	3.4748039
54978_at	1.01e-03	5.75e-06	-5.8130915	4.067019	-1.2491746
23400_at	1.04e-03	5.99e-06	-5.7963171	4.027987	-1.3139484
84876_at	1.04e-03	5.99e-06	-5.7961511	4.027601	-1.4539594
4851_at	1.06e-03	6.15e-06	-5.7855759	4.00298	-1.433158
100507347_at	1.06e-03	6.15e-06	-5.7853744	4.00251	-0.8459133
7805_at	1.07e-03	6.29e-06	-5.776418	3.981649	-2.3746355
6263_at	1.07e-03	6.33e-06	5.7736577	3.975218	1.5430641
23208_at	1.08e-03	6.45e-06	-5.7659362	3.957224	-1.6730352
9672_at	1.08e-03	6.49e-06	-5.7636576	3.951913	-1.8573297
9612_at	1.08e-03	6.51e-06	-5.762462	3.949126	-1.1353156
1536_at	1.08e-03	6.58e-06	-5.7577611	3.938167	-3.1483239
170954_at	1.08e-03	6.59e-06	-5.7571494	3.936741	-1.6220991
100507062_at	1.08e-03	6.67e-06	5.7523395	3.925525	1.9065033
26804_at	1.08e-03	6.72e-06	5.7492919	3.918417	1.3949232
9584_at	1.08e-03	6.73e-06	5.7489156	3.917539	0.8408332
3992_at	1.10e-03	6.88e-06	-5.7400406	3.896835	-1.4004524
8407_at	1.13e-03	7.09e-06	-5.7274585	3.86747	-1.1729106
26822_at	1.14e-03	7.23e-06	5.7194313	3.848727	1.6740639
9294_at	1.18e-03	7.55e-06	-5.7018527	3.807661	-1.0823395
867_at	1.18e-03	7.60e-06	-5.6996332	3.802473	-0.9042001
11031_at	1.18e-03	7.64e-06	-5.6971347	3.796634	-1.3483736
6540_at	1.22e-03	7.88e-06	5.684506	3.767107	1.6394578
8751_at	1.22e-03	7.94e-06	-5.6816366	3.760396	-1.3711269
60681_at	1.22e-03	8.02e-06	-5.6775541	3.750847	-1.1981516
874_at	1.23e-03	8.15e-06	-5.670998	3.735508	-1.5648668
92292_at	1.23e-03	8.18e-06	5.6693719	3.731703	3.2268237
120939_at	1.23e-03	8.22e-06	5.6676846	3.727754	2.7758436
57730_at	1.23e-03	8.26e-06	5.6655623	3.722787	2.0856159
4650_at	1.29e-03	8.71e-06	-5.6442259	3.672829	-1.4455094
283970_at	1.34e-03	9.10e-06	5.6263549	3.630953	1.5258205
340094_at	1.35e-03	9.20e-06	5.6219357	3.620593	1.2873979
677845_at	1.35e-03	9.31e-06	5.6171492	3.60937	2.5735049
53827_at	1.36e-03	9.41e-06	-5.6127873	3.599141	-1.6886467
26789_at	1.40e-03	9.78e-06	5.5974011	3.563045	2.7788116
2011_at	1.40e-03	9.80e-06	-5.5963809	3.56065	-1.2956616
57018_at	1.42e-03	9.96e-06	5.5899825	3.545633	1.4777005
51330_at	1.42e-03	1.00e-05	-5.5869685	3.538558	-2.3478097
79940_at	1.45e-03	1.03e-05	5.5752768	3.511104	2.1747411
5105_at	1.46e-03	1.04e-05	5.5717771	3.502884	2.7298221
2104_at	1.47e-03	1.06e-05	5.5652728	3.487603	1.6128628
9406_at	1.47e-03	1.07e-05	5.5622695	3.480547	1.00066
767591_at	1.48e-03	1.08e-05	5.5582157	3.47102	1.6933028
10247_at	1.48e-03	1.08e-05	5.5558993	3.465576	2.2205748
91614_at	1.48e-03	1.09e-05	5.5545882	3.462494	1.8625146
100216546_at	1.49e-03	1.10e-05	5.5490785	3.449543	1.5440713
100507367_at	1.52e-03	1.13e-05	5.5402114	3.428693	2.3174789
9871_at	1.53e-03	1.15e-05	-5.5329381	3.411586	-1.1900319
90332_at	1.53e-03	1.15e-05	-5.5302827	3.40534	-1.2870916
55592_at	1.53e-03	1.17e-05	5.525795	3.394781	1.2552738
100033431_at	1.53e-03	1.17e-05	5.5254963	3.394078	2.2956499
10870_at	1.53e-03	1.17e-05	-5.5252674	3.39354	-2.105882
100302276_at	1.55e-03	1.19e-05	5.5192385	3.379352	1.8813117
823_at	1.56e-03	1.20e-05	-5.5138676	3.366711	-1.0568251
30846_at	1.58e-03	1.22e-05	-5.5079038	3.352671	-1.5490557
692090_at	1.58e-03	1.23e-05	5.505864	3.347868	1.8965493
2625_at	1.61e-03	1.26e-05	-5.495472	3.323394	-1.5353049
163882_at	1.65e-03	1.30e-05	5.48377	3.295825	0.9678849
173_at	1.65e-03	1.30e-05	5.4825927	3.29305	3.4429484
6483_at	1.66e-03	1.31e-05	-5.4778358	3.28184	-1.5674313
692063_at	1.66e-03	1.33e-05	5.472893	3.270189	2.4367556
57733_at	1.66e-03	1.33e-05	5.4724226	3.26908	2.2123424
156_at	1.69e-03	1.36e-05	-5.4650227	3.251633	-1.5744198
643432_at	1.69e-03	1.37e-05	5.4611456	3.242491	1.1031453
100507267_at	1.69e-03	1.37e-05	5.4605157	3.241005	1.7027859
10443_at	1.71e-03	1.40e-05	5.4534103	3.224246	0.9283525
64834_at	1.72e-03	1.41e-05	-5.4483344	3.212272	-0.9080868
57572_at	1.73e-03	1.43e-05	-5.4454225	3.205401	-0.995899
2026_at	1.77e-03	1.47e-05	-5.4334001	3.177028	-1.0235233
650_at	1.77e-03	1.47e-05	-5.433025	3.176143	-1.874057
11223_at	1.78e-03	1.49e-05	5.427198	3.162387	1.382988
25914_at	1.78e-03	1.49e-05	5.4262787	3.160216	1.2065618
977_at	1.78e-03	1.50e-05	-5.423549	3.153771	-1.2476972
80036_at	1.83e-03	1.55e-05	5.4117843	3.125986	1.5940188
283373_at	1.83e-03	1.57e-05	-5.4073016	3.115397	-1.0990971
28970_at	1.83e-03	1.57e-05	5.4068367	3.114298	1.5691583
2316_at	1.86e-03	1.60e-05	-5.3997756	3.097614	-1.1407121
117283_at	1.89e-03	1.64e-05	5.3896753	3.073743	2.1450605
5276_at	1.90e-03	1.65e-05	5.3864826	3.066195	1.9151726
677837_at	1.90e-03	1.66e-05	5.3850542	3.062818	2.4642966
8085_at	1.90e-03	1.66e-05	-5.3838021	3.059858	-1.1906975
6915_at	1.92e-03	1.69e-05	-5.3778546	3.045795	-0.9968488
2314_at	1.96e-03	1.74e-05	-5.3652719	3.016035	-0.9422277
10349_at	1.96e-03	1.74e-05	5.3643752	3.013914	1.095845
692088_at	1.97e-03	1.75e-05	5.3622308	3.00884	2.1000916
641648_at	2.00e-03	1.79e-05	5.353202	2.987477	1.9859936
26118_at	2.03e-03	1.82e-05	5.3462041	2.970914	1.3061039
54790_at	2.03e-03	1.83e-05	5.3450459	2.968173	1.3934295
1052_at	2.04e-03	1.85e-05	5.3403022	2.956943	1.1998449
80217_at	2.04e-03	1.86e-05	5.3387033	2.953158	1.2246758
58986_at	2.06e-03	1.88e-05	-5.3341896	2.94247	-1.3263536
100302650_at	2.07e-03	1.91e-05	5.3285548	2.929127	1.7307995
2885_at	2.07e-03	1.91e-05	-5.3274443	2.926497	-0.8853982
23473_at	2.10e-03	1.94e-05	5.320633	2.910363	0.8310799
113829_at	2.16e-03	2.01e-05	-5.3069251	2.877885	-0.8579989
2538_at	2.18e-03	2.05e-05	5.299367	2.859972	3.1194879
64175_at	2.18e-03	2.06e-05	-5.2982759	2.857386	-0.9814938
1981_at	2.18e-03	2.06e-05	-5.2981116	2.856996	-0.8698775
3653_at	2.21e-03	2.09e-05	5.2909675	2.84006	1.5591593
3383_at	2.23e-03	2.12e-05	-5.2860919	2.8285	-1.4980122
90120_at	2.24e-03	2.13e-05	-5.2834539	2.822244	-0.788756
51747_at	2.26e-03	2.17e-05	5.2770056	2.806952	1.338325
221937_at	2.27e-03	2.18e-05	-5.2743841	2.800734	-1.2465063
2070_at	2.28e-03	2.20e-05	5.2711576	2.79308	1.8013949
3635_at	2.34e-03	2.28e-05	-5.257126	2.759788	-1.8973649
3675_at	2.34e-03	2.28e-05	-5.2568175	2.759056	-0.9776831
692225_at	2.34e-03	2.28e-05	5.256312	2.757857	2.4737324
677797_at	2.35e-03	2.31e-05	5.2508454	2.744882	2.1149271
58510_at	2.35e-03	2.32e-05	5.2504416	2.743924	2.1608582
101928830_at	2.36e-03	2.34e-05	5.246779	2.73523	1.6016634
5566_at	2.38e-03	2.36e-05	-5.2427745	2.725724	-1.1629788
406969_at	2.41e-03	2.41e-05	5.2351133	2.707534	1.6404075
5355_at	2.41e-03	2.41e-05	-5.2350189	2.70731	-0.9924648
113026_at	2.41e-03	2.42e-05	-5.2323391	2.700947	-1.105315
11282_at	2.42e-03	2.44e-05	-5.2291508	2.693375	-0.8734402
102723544_at	2.43e-03	2.47e-05	5.2248689	2.683205	1.7869555
5430_at	2.43e-03	2.47e-05	-5.2240597	2.681284	-1.0350311
4820_at	2.43e-03	2.49e-05	5.2223891	2.677315	1.5957088
55347_at	2.43e-03	2.49e-05	5.2219721	2.676325	0.8764018
441518_at	2.48e-03	2.55e-05	-5.2125785	2.654009	-1.1686563
59272_at	2.63e-03	2.71e-05	5.1872424	2.593794	2.5052988
677767_at	2.64e-03	2.73e-05	5.1841448	2.586429	2.4678304
5127_at	2.64e-03	2.76e-05	-5.1811497	2.579308	-0.7063062
10391_at	2.64e-03	2.76e-05	-5.1810733	2.579126	-1.0988457
23629_at	2.64e-03	2.78e-05	5.1782435	2.572397	1.4194489
2934_at	2.64e-03	2.79e-05	-5.1756126	2.566141	-0.9090449
25960_at	2.64e-03	2.80e-05	-5.1744628	2.563406	-1.3141221
100616166_at	2.64e-03	2.80e-05	5.1742625	2.56293	1.2257163
2539_at	2.64e-03	2.82e-05	-5.1719798	2.557501	-1.2030126
91663_at	2.64e-03	2.82e-05	-5.1714607	2.556266	-1.0018125
55690_at	2.64e-03	2.83e-05	-5.1710035	2.555179	-1.1824296
23564_at	2.64e-03	2.84e-05	-5.1696541	2.55197	-0.8655826
399909_at	2.64e-03	2.85e-05	-5.1679942	2.548022	-1.0029515
64770_at	2.65e-03	2.87e-05	5.1646281	2.540015	1.1215505
80745_at	2.66e-03	2.90e-05	5.1604946	2.530182	1.1736978
340811_at	2.66e-03	2.92e-05	5.1585061	2.525451	0.8278219
677810_at	2.66e-03	2.92e-05	5.1577698	2.523699	2.6242764
677832_at	2.66e-03	2.92e-05	5.1577562	2.523667	2.0167251
57479_at	2.73e-03	3.00e-05	-5.146605	2.497134	-1.2600085
10960_at	2.78e-03	3.08e-05	-5.1370454	2.474382	-0.9889909
140803_at	2.80e-03	3.11e-05	5.1334472	2.465817	1.188527
677829_at	2.82e-03	3.14e-05	5.1285427	2.454141	2.3690709
100874021_at	2.91e-03	3.26e-05	5.1140453	2.419621	1.7139191
79650_at	2.91e-03	3.27e-05	-5.1131232	2.417425	-1.1416597
64061_at	2.92e-03	3.28e-05	5.1110197	2.412415	1.1318173
25845_at	2.95e-03	3.34e-05	5.104121	2.395984	1.5610992
10891_at	2.95e-03	3.35e-05	5.1031696	2.393718	2.2012293
101752399_at	2.95e-03	3.36e-05	5.10208	2.391122	1.7440055
100134040_at	2.97e-03	3.39e-05	5.0979676	2.381325	1.7722869
116842_at	2.97e-03	3.40e-05	5.0976828	2.380647	2.5785661
55290_at	2.97e-03	3.43e-05	-5.094334	2.372669	-1.1540609
25792_at	2.97e-03	3.43e-05	-5.0940459	2.371982	-0.8605813
9578_at	2.97e-03	3.44e-05	-5.093078	2.369676	-0.7352578
285512_at	2.99e-03	3.48e-05	5.088328	2.358358	1.203857
595_at	2.99e-03	3.49e-05	-5.0868955	2.354945	-1.4179635
5950_at	2.99e-03	3.51e-05	5.0847753	2.349893	2.643273
692111_at	2.99e-03	3.51e-05	5.0847389	2.349806	2.4953731
254773_at	2.99e-03	3.51e-05	5.0840575	2.348182	1.2231793
148696_at	2.99e-03	3.53e-05	5.0823441	2.344099	1.1450317
101927378_at	3.01e-03	3.56e-05	5.0790119	2.336158	1.858479
54206_at	3.02e-03	3.60e-05	5.074232	2.324765	1.8291382
10050_at	3.02e-03	3.61e-05	5.0736743	2.323436	1.2416553
100131561_at	3.02e-03	3.62e-05	5.0723768	2.320343	1.6328256
151636_at	3.02e-03	3.62e-05	-5.0717878	2.318939	-1.1681948
55076_at	3.03e-03	3.65e-05	-5.0694511	2.31337	-1.2955565
374618_at	3.04e-03	3.67e-05	5.0667564	2.306946	1.0991179
57190_at	3.09e-03	3.75e-05	-5.058225	2.286606	-1.1726033
2896_at	3.16e-03	3.84e-05	-5.0487098	2.263917	-0.9146306
3838_at	3.17e-03	3.89e-05	-5.0441291	2.252993	-1.4909521
101929689_at	3.17e-03	3.89e-05	5.0439888	2.252658	2.3731925
101928058_at	3.17e-03	3.89e-05	5.0433456	2.251125	1.460414
5499_at	3.19e-03	3.94e-05	-5.0387433	2.240148	-0.9045248
527_at	3.19e-03	3.94e-05	-5.0382209	2.238902	-0.8695922
100628315_at	3.20e-03	3.97e-05	5.0359567	2.233501	1.519804
64283_at	3.20e-03	3.98e-05	5.0346658	2.230422	1.3062004
2022_at	3.20e-03	3.99e-05	-5.0337706	2.228286	-1.1983934
654321_at	3.26e-03	4.08e-05	5.0250051	2.207375	1.8435902
56954_at	3.26e-03	4.09e-05	5.0233301	2.203379	0.9409808
203068_at	3.28e-03	4.12e-05	-5.0204117	2.196416	-0.8312427
1300_at	3.29e-03	4.16e-05	5.0172158	2.188791	1.2186068
7056_at	3.31e-03	4.19e-05	-5.0137028	2.180408	-1.2035164
6541_at	3.32e-03	4.22e-05	-5.0110309	2.174032	-1.2883207
157381_at	3.32e-03	4.23e-05	5.0104386	2.172618	1.2662673
10263_at	3.33e-03	4.26e-05	-5.0078368	2.166409	-1.4217575
101927023_at	3.33e-03	4.26e-05	5.0070539	2.164541	1.3450462
6584_at	3.35e-03	4.30e-05	5.0034257	2.155881	1.2865377
115207_at	3.38e-03	4.38e-05	-4.9967421	2.139928	-1.2009143
126308_at	3.38e-03	4.38e-05	-4.9967343	2.13991	-1.0559461
101928324_at	3.38e-03	4.39e-05	4.995272	2.136419	1.32446
124989_at	3.42e-03	4.46e-05	4.9894988	2.122638	1.1363772
219972_at	3.43e-03	4.49e-05	-4.9862445	2.114868	-1.7373087
22838_at	3.43e-03	4.50e-05	-4.9857252	2.113629	-1.1354249
100874231_at	3.43e-03	4.50e-05	4.9856857	2.113534	1.5451607
1436_at	3.47e-03	4.57e-05	-4.9794618	2.098674	-2.1851091
101927831_at	3.53e-03	4.66e-05	4.971743	2.080243	1.4697912
10437_at	3.58e-03	4.75e-05	-4.9642593	2.062371	-1.6925625
25976_at	3.59e-03	4.77e-05	4.9622811	2.057646	1.1895192
677774_at	3.65e-03	4.87e-05	4.954085	2.03807	1.2413068
1893_at	3.69e-03	4.94e-05	-4.9487371	2.025295	-2.425481
5288_at	3.71e-03	4.97e-05	4.9458012	2.018281	1.01485
2939_at	3.74e-03	5.02e-05	4.9419738	2.009137	3.5164694
54657_at	3.74e-03	5.05e-05	4.9396617	2.003613	1.619108
55277_at	3.74e-03	5.06e-05	4.938719	2.001361	1.1628971
100302164_at	3.75e-03	5.09e-05	4.9365344	1.996141	1.2093941
9099_at	3.80e-03	5.18e-05	4.9296786	1.97976	1.557674
100505696_at	3.80e-03	5.20e-05	4.9282595	1.976369	1.0433746
3773_at	3.80e-03	5.20e-05	4.9281768	1.976171	1.8872159
7916_at	3.85e-03	5.29e-05	-4.9214564	1.960111	-0.9332899
396_at	3.88e-03	5.34e-05	-4.9173748	1.950357	-1.1582223
391_at	3.88e-03	5.35e-05	-4.9169235	1.949278	-0.9454842
5144_at	3.92e-03	5.43e-05	4.9107571	1.93454	0.8917833
55753_at	3.92e-03	5.45e-05	4.9098525	1.932378	1.7167984
4330_at	3.97e-03	5.52e-05	-4.904361	1.919251	-1.1586038
693122_at	4.00e-03	5.58e-05	4.9005139	1.910055	2.291159
677769_at	4.00e-03	5.60e-05	4.8985753	1.905421	2.9085267
10560_at	4.03e-03	5.67e-05	4.8936558	1.89366	1.6283496
100128054_at	4.03e-03	5.71e-05	4.8910377	1.8874	2.0209329
693155_at	4.03e-03	5.71e-05	4.8909336	1.887152	2.2427524
51225_at	4.03e-03	5.72e-05	-4.890454	1.886005	-1.3307407
9935_at	4.03e-03	5.73e-05	-4.889913	1.884712	-1.1337705
100874253_at	4.03e-03	5.77e-05	4.8865601	1.876695	2.60166
285331_at	4.03e-03	5.78e-05	4.8864159	1.87635	0.8451161
29_at	4.03e-03	5.78e-05	-4.8859949	1.875344	-0.8729109
51564_at	4.03e-03	5.78e-05	-4.8858692	1.875043	-0.9950434
4066_at	4.05e-03	5.82e-05	-4.8833263	1.868963	-1.1011098
56006_at	4.06e-03	5.86e-05	-4.8808555	1.863055	-1.1564166
7431_at	4.10e-03	5.93e-05	-4.8758308	1.85104	-0.6757574
112464_at	4.11e-03	5.97e-05	-4.8736438	1.84581	-1.1078643
100874204_at	4.15e-03	6.04e-05	4.8686037	1.833757	0.9935544
283596_at	4.15e-03	6.05e-05	4.8680499	1.832433	1.0727486
130_at	4.15e-03	6.06e-05	4.8671998	1.8304	2.3664133
728290_at	4.18e-03	6.12e-05	4.8632179	1.820877	2.0033613
10749_at	4.19e-03	6.15e-05	-4.8613764	1.816473	-0.9415988
100033427_at	4.26e-03	6.28e-05	4.853431	1.797469	2.209591
9572_at	4.29e-03	6.34e-05	-4.849221	1.787399	-2.0351389
50831_at	4.29e-03	6.37e-05	4.8472981	1.782799	1.4060635
409_at	4.29e-03	6.38e-05	-4.8469152	1.781883	-1.6274702
9510_at	4.29e-03	6.38e-05	-4.8467505	1.781489	-1.6043224
