IDconv,ID,adj.P.Val,P.Value,t,B,logFC,ensembl_gene_id,hgnc_symbol
86,86_at,0.232,0.0452,-2.1144609,-4.304089,-0.4150245,ENSG00000136518,ACTL6A
87,87_at,0.013,4.28e-4,-4.0928845,-0.020601,-1.4235097,ENSG00000072110,ACTN1
88,88_at,0.975,0.923,0.0972363,-6.366709,0.0246624,ENSG00000077522,ACTN2
89,89_at,0.99,0.97,0.0385726,-6.370741,0.0096913,ENSG00000248746,ACTN3
90,90_at,0.327,0.082,-1.8167436,-4.810571,-0.4956681,ENSG00000115170,ACVR1
91,91_at,0.951,0.857,0.1827244,-6.354604,0.0393418,ENSG00000135503,ACVR1B
92,92_at,0.373,0.104,1.6898786,-5.009077,0.3606304,ENSG00000121989,ACVR2A
93,93_at,0.652,0.324,-1.0075192,-5.868655,-0.3147631,ENSG00000114739,ACVR2B
94,94_at,0.171,0.0266,-2.3649347,-3.838639,-0.6377669,ENSG00000139567,ACVRL1
97,97_at,0.989,0.967,0.042252,-6.37059,0.013691,ENSG00000119640,ACYP1
98,98_at,0.756,0.461,-0.7500486,-6.090131,-0.1904055,ENSG00000170634,ACYP2
100,100_at,0.311,0.0747,-1.8644962,-4.733063,-0.6699494,ENSG00000196839,ADA
101,101_at,0.528,0.207,-1.2987842,-5.547496,-0.237879,ENSG00000151651,ADAM8
102,102_at,0.351,0.0937,-1.7464897,-4.921852,-0.3308826,ENSG00000137845,ADAM10
103,103_at,0.624,0.293,-1.0763666,-5.799311,-0.2212623,ENSG00000160710,ADAR
104,104_at,0.769,0.481,-0.7163481,-6.114576,-0.2193906,ENSG00000197381,ADARB1
105,105_at,0.945,0.84,0.204748,-6.350291,0.0394265,ENSG00000185736,ADARB2
107,107_at,0.51,0.193,1.3408416,-5.495267,0.5195338,ENSG00000164742,ADCY1
108,108_at,0.751,0.451,0.7657542,-6.078374,0.1441612,ENSG00000078295,ADCY2
109,109_at,0.014,4.81e-4,-4.0464271,-0.130905,-0.8561171,ENSG00000138031,ADCY3
111,111_at,0.869,0.661,-0.4442888,-6.271993,-0.086722,ENSG00000173175,ADCY5
112,112_at,0.434,0.139,-1.5301459,-5.242921,-0.3653438,ENSG00000174233,ADCY6
113,113_at,0.0367,0.00227,-3.4222307,-1.588115,-0.7472242,ENSG00000121281,ADCY7
114,114_at,0.298,0.0694,1.9021114,-4.670971,0.2866543,ENSG00000155897,ADCY8
115,115_at,0.289,0.0657,-1.9296565,-4.624931,-0.4346815,ENSG00000162104,ADCY9
116,116_at,0.553,0.226,-1.2429219,-5.614641,-0.3545542,ENSG00000141433,ADCYAP1
117,117_at,0.894,0.718,-0.3652827,-6.304141,-0.0554196,ENSG00000078549,ADCYAP1R1
118,118_at,0.666,0.34,-0.9734742,-5.901397,-0.1618989,ENSG00000087274,ADD1
119,119_at,0.918,0.771,-0.294949,-6.327537,-0.0595287,ENSG00000075340,ADD2
120,120_at,0.849,0.619,0.5044999,-6.243354,0.0865364,ENSG00000148700,ADD3
123,123_at,0.0268,0.00135,3.6333469,-1.101701,0.8340935,ENSG00000147872,PLIN2
124,124_at,0.535,0.212,-1.2822382,-5.567651,-0.3085494,ENSG00000187758,ADH1A
125,125_at,0.548,0.223,1.2528148,-5.602937,0.5207378,ENSG00000196616,ADH1B
126,126_at,0.391,0.114,1.6388888,-5.085723,0.7223383,ENSG00000248144,ADH1C
127,127_at,0.63,0.3,1.0605626,-5.815597,0.1954012,ENSG00000198099,ADH4
128,128_at,0.313,0.0759,1.8564361,-4.74625,0.3689329,ENSG00000197894,ADH5
130,130_at,0.00415,6.06e-5,4.8671998,1.8304,2.3664133,ENSG00000172955,ADH6
131,131_at,0.818,0.565,0.5834244,-6.200443,0.1086079,ENSG00000196344,ADH7
132,132_at,0.472,0.164,1.4371158,-5.370402,0.2610632,ENSG00000156110,ADK
133,133_at,0.0154,5.55e-4,-3.9888411,-0.267379,-1.7668732,ENSG00000148926,ADM
134,134_at,0.449,0.148,-1.4949896,-5.29187,-0.5056568,ENSG00000163485,ADORA1
135,135_at,0.926,0.79,-0.2693885,-6.334814,-0.0837298,ENSG00000128271,ADORA2A
136,136_at,0.754,0.457,-0.7564361,-6.085377,-0.1633502,ENSG00000170425,ADORA2B
